LocationType,Location,Race,TimeFrame,DataFormat,Data
County,Benton,Native Hawaiian and Other Pacific Islander,2005-2009,Currency,"*$66,953"
County,Benton,White Non-Hispanic,2005-2009,Currency,74331
County,Benton,American Indian and Alaska Native,2006-2010,Currency,"*$65,114"
County,Benton,Asian,2006-2010,Currency,"*$89,286"
County,Benton,Black,2006-2010,Currency,"*$58,229"
County,Benton,Hispanic or Latino,2006-2010,Currency,35764
County,Benton,Multiracial,2006-2010,Currency,"*$64,375"
County,Benton,Native Hawaiian and Other Pacific Islander,2006-2010,Currency,66065
County,Benton,White Non-Hispanic,2006-2010,Currency,76467
County,Benton,American Indian and Alaska Native,2007-2011,Currency,"*$61,354"
County,Benton,Asian,2007-2011,Currency,"*$91,759"
County,Benton,Black,2007-2011,Currency,"*$77,692"
County,Benton,Hispanic or Latino,2007-2011,Currency,38530
County,Benton,Multiracial,2007-2011,Currency,"*$61,333"
County,Benton,Native Hawaiian and Other Pacific Islander,2007-2011,Currency,"*$67,500"
County,Benton,White Non-Hispanic,2007-2011,Currency,78582
County,Benton,American Indian and Alaska Native,2008-2012,Currency,"*$49,792"
County,Benton,Asian,2008-2012,Currency,"*$93,715"
County,Benton,Black,2008-2012,Currency,"*$77,292"
County,Benton,Hispanic or Latino,2008-2012,Currency,38206
County,Benton,Multiracial,2008-2012,Currency,"*$60,385"
County,Benton,Native Hawaiian and Other Pacific Islander,2008-2012,Currency,"*$65,909"
County,Benton,White Non-Hispanic,2008-2012,Currency,80230
County,Benton,American Indian and Alaska Native,2009-2013,Currency,"*$58,833"
County,Benton,Asian,2009-2013,Currency,"*$85,791"
County,Benton,Black,2009-2013,Currency,"*$56,500"
County,Benton,Hispanic or Latino,2009-2013,Currency,"*$39,776"
County,Benton,Multiracial,2009-2013,Currency,"*$64,300"
County,Benton,Native Hawaiian and Other Pacific Islander,2009-2013,Currency,"*$54,904"
County,Benton,White Non-Hispanic,2009-2013,Currency,79909
County,Benton,American Indian and Alaska Native,2010-2014,Currency,39952
County,Benton,American Indian and Alaska Native,2011-2015,Currency,46842
County,Benton,American Indian and Alaska Native,2012-2016,Currency,49808
County,Benton,American Indian and Alaska Native,2013-2017,Currency,47844
County,Benton,Asian,2010-2014,Currency,85360
County,Benton,Asian,2011-2015,Currency,79344
County,Benton,Asian,2012-2016,Currency,85089
County,Benton,Asian,2013-2017,Currency,99653
County,Benton,Black,2010-2014,Currency,56351
County,Benton,Black,2011-2015,Currency,55282
County,Benton,Black,2012-2016,Currency,90303
County,Benton,Black,2013-2017,Currency,61170
County,Benton,Hispanic or Latino,2010-2014,Currency,39813
County,Benton,Hispanic or Latino,2011-2015,Currency,39554
County,Benton,Hispanic or Latino,2012-2016,Currency,41196
County,Benton,Hispanic or Latino,2013-2017,Currency,45087
County,Benton,Multiracial,2010-2014,Currency,66103
County,Benton,Multiracial,2011-2015,Currency,39554
County,Benton,Multiracial,2012-2016,Currency,63466
County,Benton,Multiracial,2013-2017,Currency,59031
County,Benton,Native Hawaiian and Other Pacific Islander,2010-2014,Currency,56750
County,Benton,Native Hawaiian and Other Pacific Islander,2011-2015,Currency,56458
County,Benton,Native Hawaiian and Other Pacific Islander,2012-2016,Currency,73750
County,Benton,Native Hawaiian and Other Pacific Islander,2013-2017,Currency,76563
County,Benton,White Non-Hispanic,2010-2014,Currency,79840
County,Benton,White Non-Hispanic,2011-2015,Currency,79973
County,Benton,White Non-Hispanic,2012-2016,Currency,80638
County,Benton,White Non-Hispanic,2013-2017,Currency,83387
County,Benton,American Indian and Alaska Native,2014-2018,Currency,NA
County,Benton,Asian,2014-2018,Currency,106004
County,Benton,Black,2014-2018,Currency,61097
County,Benton,Hispanic or Latino,2014-2018,Currency,45570
County,Benton,Multiracial,2014-2018,Currency,60586
County,Benton,Native Hawaiian and Other Pacific Islander,2014-2018,Currency,NA
County,Benton,White Non-Hispanic,2014-2018,Currency,86755
County,Benton,American Indian and Alaska Native,2015-2019,Currency,NA
County,Benton,Asian,2015-2019,Currency,104630
County,Benton,Black,2015-2019,Currency,60366
County,Benton,Hispanic or Latino,2015-2019,Currency,47779
County,Benton,Multiracial,2015-2019,Currency,63941
County,Benton,Native Hawaiian and Other Pacific Islander,2015-2019,Currency,NA
County,Benton,White Non-Hispanic,2015-2019,Currency,91908
County,Chelan,American Indian and Alaska Native,2005-2009,Currency,"*$80,063"
County,Chelan,Asian,2005-2009,Currency,"*$43,438"
County,Chelan,Black,2005-2009,Currency,"*$46,477"
County,Chelan,Hispanic or Latino,2005-2009,Currency,37393
County,Chelan,Multiracial,2005-2009,Currency,"*$35,234"
County,Chelan,Native Hawaiian and Other Pacific Islander,2005-2009,Currency,NA
County,Chelan,White Non-Hispanic,2005-2009,Currency,59830
County,Chelan,American Indian and Alaska Native,2006-2010,Currency,"*$44,750"
County,Chelan,Asian,2006-2010,Currency,"*$64,583"
County,Chelan,Black,2006-2010,Currency,"*$71,667"
County,Chelan,Hispanic or Latino,2006-2010,Currency,40882
County,Chelan,Multiracial,2006-2010,Currency,"*$37,344"
County,Chelan,Native Hawaiian and Other Pacific Islander,2006-2010,Currency,NA
County,Chelan,White Non-Hispanic,2006-2010,Currency,62950
County,Chelan,American Indian and Alaska Native,2007-2011,Currency,"*$24,605"
County,Chelan,Asian,2007-2011,Currency,"*$35,066"
County,Chelan,Black,2007-2011,Currency,NA
County,Chelan,Hispanic or Latino,2007-2011,Currency,42236
County,Chelan,Multiracial,2007-2011,Currency,"*$43,352"
County,Chelan,Native Hawaiian and Other Pacific Islander,2007-2011,Currency,NA
County,Chelan,White Non-Hispanic,2007-2011,Currency,65392
County,Chelan,American Indian and Alaska Native,2008-2012,Currency,"*$46,250"
County,Chelan,Asian,2008-2012,Currency,"*$38,897"
County,Chelan,Black,2008-2012,Currency,NA
County,Chelan,Hispanic or Latino,2008-2012,Currency,42748
County,Chelan,Multiracial,2008-2012,Currency,"*$51,435"
County,Chelan,Native Hawaiian and Other Pacific Islander,2008-2012,Currency,NA
County,Chelan,White Non-Hispanic,2008-2012,Currency,64916
County,Chelan,American Indian and Alaska Native,2009-2013,Currency,"*$48,333"
County,Chelan,Asian,2009-2013,Currency,"*$39,188"
County,Chelan,Black,2009-2013,Currency,NA
County,Chelan,Hispanic or Latino,2009-2013,Currency,"*$43,615"
County,Chelan,Multiracial,2009-2013,Currency,"*$61,250"
County,Chelan,Native Hawaiian and Other Pacific Islander,2009-2013,Currency,NA
County,Chelan,White Non-Hispanic,2009-2013,Currency,66568
County,Chelan,American Indian and Alaska Native,2010-2014,Currency,49931
County,Chelan,American Indian and Alaska Native,2011-2015,Currency,54000
County,Chelan,American Indian and Alaska Native,2012-2016,Currency,56841
County,Chelan,American Indian and Alaska Native,2013-2017,Currency,67868
County,Chelan,Asian,2010-2014,Currency,46838
County,Chelan,Asian,2011-2015,Currency,S
County,Chelan,Asian,2012-2016,Currency,89531
County,Chelan,Asian,2013-2017,Currency,S
County,Chelan,Black,2010-2014,Currency,S
County,Chelan,Black,2011-2015,Currency,S
County,Chelan,Black,2012-2016,Currency,S
County,Chelan,Black,2013-2017,Currency,S
County,Chelan,Hispanic or Latino,2010-2014,Currency,43509
County,Chelan,Hispanic or Latino,2011-2015,Currency,42118
County,Chelan,Hispanic or Latino,2012-2016,Currency,43043
County,Chelan,Hispanic or Latino,2013-2017,Currency,44588
County,Chelan,Multiracial,2010-2014,Currency,46071
County,Chelan,Multiracial,2011-2015,Currency,42118
County,Chelan,Multiracial,2012-2016,Currency,64234
County,Chelan,Multiracial,2013-2017,Currency,65750
County,Chelan,Native Hawaiian and Other Pacific Islander,2010-2014,Currency,S
County,Chelan,Native Hawaiian and Other Pacific Islander,2011-2015,Currency,S
County,Chelan,Native Hawaiian and Other Pacific Islander,2012-2016,Currency,S
County,Chelan,Native Hawaiian and Other Pacific Islander,2013-2017,Currency,S
County,Chelan,White Non-Hispanic,2010-2014,Currency,67086
County,Chelan,White Non-Hispanic,2011-2015,Currency,68438
County,Chelan,White Non-Hispanic,2012-2016,Currency,69906
County,Chelan,White Non-Hispanic,2013-2017,Currency,74441
County,Chelan,American Indian and Alaska Native,2014-2018,Currency,49583
County,Chelan,Asian,2014-2018,Currency,96111
County,Chelan,Black,2014-2018,Currency,NA
County,Chelan,Hispanic or Latino,2014-2018,Currency,48580
County,Chelan,Multiracial,2014-2018,Currency,73295
County,Chelan,Native Hawaiian and Other Pacific Islander,2014-2018,Currency,NA
County,Chelan,White Non-Hispanic,2014-2018,Currency,75810
County,Chelan,American Indian and Alaska Native,2015-2019,Currency,NA
County,Chelan,Asian,2015-2019,Currency,81875
County,Chelan,Black,2015-2019,Currency,40826
County,Chelan,Hispanic or Latino,2015-2019,Currency,47991
County,Chelan,Multiracial,2015-2019,Currency,77433
County,Chelan,Native Hawaiian and Other Pacific Islander,2015-2019,Currency,NA
County,Chelan,White Non-Hispanic,2015-2019,Currency,80269
County,Clallam,American Indian and Alaska Native,2005-2009,Currency,"*$27,582"
County,Clallam,Asian,2005-2009,Currency,"*$29,348"
County,Clallam,Black,2005-2009,Currency,"*$29,000"
County,Clallam,Hispanic or Latino,2005-2009,Currency,"*$59,688"
County,Clallam,Multiracial,2005-2009,Currency,"*$35,640"
County,Clallam,Native Hawaiian and Other Pacific Islander,2005-2009,Currency,NA
County,Clallam,White Non-Hispanic,2005-2009,Currency,56247
County,Clallam,American Indian and Alaska Native,2006-2010,Currency,"*$31,283"
County,Clallam,Asian,2006-2010,Currency,"*$28,512"
County,Clallam,Black,2006-2010,Currency,"*$28,088"
County,Clallam,Hispanic or Latino,2006-2010,Currency,"*$38,438"
County,Clallam,Multiracial,2006-2010,Currency,36726
County,Clallam,Native Hawaiian and Other Pacific Islander,2006-2010,Currency,NA
County,Clallam,White Non-Hispanic,2006-2010,Currency,56536
County,Clallam,American Indian and Alaska Native,2007-2011,Currency,"*$34,000"
County,Clallam,Asian,2007-2011,Currency,"*$28,716"
County,Clallam,Black,2007-2011,Currency,"*$45,852"
County,Clallam,Hispanic or Latino,2007-2011,Currency,"*$36,625"
County,Clallam,Multiracial,2007-2011,Currency,"*$38,398"
County,Clallam,Native Hawaiian and Other Pacific Islander,2007-2011,Currency,NA
County,Clallam,White Non-Hispanic,2007-2011,Currency,59865
County,Clallam,American Indian and Alaska Native,2008-2012,Currency,"*$37,534"
County,Clallam,Asian,2008-2012,Currency,"*$34,688"
County,Clallam,Black,2008-2012,Currency,"*$57,574"
County,Clallam,Hispanic or Latino,2008-2012,Currency,"*$52,692"
County,Clallam,Multiracial,2008-2012,Currency,"*$40,450"
County,Clallam,Native Hawaiian and Other Pacific Islander,2008-2012,Currency,NA
County,Clallam,White Non-Hispanic,2008-2012,Currency,60827
County,Clallam,American Indian and Alaska Native,2009-2013,Currency,"*$35,500"
County,Clallam,Asian,2009-2013,Currency,"*$37,188"
County,Clallam,Black,2009-2013,Currency,"*$15,313"
County,Clallam,Hispanic or Latino,2009-2013,Currency,"*$50,938"
County,Clallam,Multiracial,2009-2013,Currency,"*$38,899"
County,Clallam,Native Hawaiian and Other Pacific Islander,2009-2013,Currency,NA
County,Clallam,White Non-Hispanic,2009-2013,Currency,61170
County,Clallam,American Indian and Alaska Native,2010-2014,Currency,36463
County,Clallam,American Indian and Alaska Native,2011-2015,Currency,35402
County,Clallam,American Indian and Alaska Native,2012-2016,Currency,35705
County,Clallam,American Indian and Alaska Native,2013-2017,Currency,34528
County,Clallam,Asian,2010-2014,Currency,62625
County,Clallam,Asian,2011-2015,Currency,58542
County,Clallam,Asian,2012-2016,Currency,59500
County,Clallam,Asian,2013-2017,Currency,62407
County,Clallam,Black,2010-2014,Currency,7364
County,Clallam,Black,2011-2015,Currency,S
County,Clallam,Black,2012-2016,Currency,13852
County,Clallam,Black,2013-2017,Currency,S
County,Clallam,Hispanic or Latino,2010-2014,Currency,50219
County,Clallam,Hispanic or Latino,2011-2015,Currency,52500
County,Clallam,Hispanic or Latino,2012-2016,Currency,45265
County,Clallam,Hispanic or Latino,2013-2017,Currency,46815
County,Clallam,Multiracial,2010-2014,Currency,57963
County,Clallam,Multiracial,2011-2015,Currency,52500
County,Clallam,Multiracial,2012-2016,Currency,59583
County,Clallam,Multiracial,2013-2017,Currency,49239
County,Clallam,Native Hawaiian and Other Pacific Islander,2010-2014,Currency,S
County,Clallam,Native Hawaiian and Other Pacific Islander,2011-2015,Currency,23500
County,Clallam,Native Hawaiian and Other Pacific Islander,2012-2016,Currency,23854
County,Clallam,Native Hawaiian and Other Pacific Islander,2013-2017,Currency,23958
County,Clallam,White Non-Hispanic,2010-2014,Currency,62569
County,Clallam,White Non-Hispanic,2011-2015,Currency,63219
County,Clallam,White Non-Hispanic,2012-2016,Currency,63143
County,Clallam,White Non-Hispanic,2013-2017,Currency,64750
County,Clallam,American Indian and Alaska Native,2014-2018,Currency,40000
County,Clallam,Asian,2014-2018,Currency,62857
County,Clallam,Black,2014-2018,Currency,NA
County,Clallam,Hispanic or Latino,2014-2018,Currency,42031
County,Clallam,Multiracial,2014-2018,Currency,59464
County,Clallam,Native Hawaiian and Other Pacific Islander,2014-2018,Currency,26667
County,Clallam,White Non-Hispanic,2014-2018,Currency,69247
County,Clallam,American Indian and Alaska Native,2015-2019,Currency,50031
County,Clallam,Asian,2015-2019,Currency,63194
County,Clallam,Black,2015-2019,Currency,NA
County,Clallam,Hispanic or Latino,2015-2019,Currency,40466
County,Clallam,Multiracial,2015-2019,Currency,66734
County,Clallam,Native Hawaiian and Other Pacific Islander,2015-2019,Currency,NA
County,Clallam,White Non-Hispanic,2015-2019,Currency,72305
County,Clark,American Indian and Alaska Native,2005-2009,Currency,"*$60,150"
County,Clark,Asian,2005-2009,Currency,"*$74,167"
County,Clark,Black,2005-2009,Currency,"*$52,021"
County,Clark,Hispanic or Latino,2005-2009,Currency,41589
County,Clark,Multiracial,2005-2009,Currency,"*$57,310"
County,Clark,Native Hawaiian and Other Pacific Islander,2005-2009,Currency,"*$56,838"
County,Clark,White Non-Hispanic,2005-2009,Currency,69285
County,Clark,American Indian and Alaska Native,2006-2010,Currency,"*$49,495"
County,Clark,Asian,2006-2010,Currency,"*$73,634"
County,Clark,Black,2006-2010,Currency,"*$43,609"
County,Clark,Hispanic or Latino,2006-2010,Currency,41828
County,Clark,Multiracial,2006-2010,Currency,"*$61,831"
County,Clark,Native Hawaiian and Other Pacific Islander,2006-2010,Currency,"*$55,061"
County,Clark,White Non-Hispanic,2006-2010,Currency,69733
County,Clark,American Indian and Alaska Native,2007-2011,Currency,"*$50,541"
County,Clark,Asian,2007-2011,Currency,"*$73,483"
County,Clark,Black,2007-2011,Currency,"*$43,365"
County,Clark,Hispanic or Latino,2007-2011,Currency,42362
County,Clark,Multiracial,2007-2011,Currency,"*$58,272"
County,Clark,Native Hawaiian and Other Pacific Islander,2007-2011,Currency,"*$45,250"
County,Clark,White Non-Hispanic,2007-2011,Currency,70838
County,Clark,American Indian and Alaska Native,2008-2012,Currency,"*$51,141"
County,Clark,Asian,2008-2012,Currency,77002
County,Clark,Black,2008-2012,Currency,"*$39,150"
County,Clark,Hispanic or Latino,2008-2012,Currency,41005
County,Clark,Multiracial,2008-2012,Currency,"*$58,238"
County,Clark,Native Hawaiian and Other Pacific Islander,2008-2012,Currency,"*$42,454"
County,Clark,White Non-Hispanic,2008-2012,Currency,71374
County,Clark,American Indian and Alaska Native,2009-2013,Currency,"*$52,552"
County,Clark,Asian,2009-2013,Currency,74157
County,Clark,Black,2009-2013,Currency,"*$43,205"
County,Clark,Hispanic or Latino,2009-2013,Currency,42931
County,Clark,Multiracial,2009-2013,Currency,"*$59,393"
County,Clark,Native Hawaiian and Other Pacific Islander,2009-2013,Currency,"*$46,212"
County,Clark,White Non-Hispanic,2009-2013,Currency,71055
County,Clark,American Indian and Alaska Native,2010-2014,Currency,55948
County,Clark,American Indian and Alaska Native,2011-2015,Currency,56803
County,Clark,American Indian and Alaska Native,2012-2016,Currency,63611
County,Clark,American Indian and Alaska Native,2013-2017,Currency,64896
County,Clark,Asian,2010-2014,Currency,75556
County,Clark,Asian,2011-2015,Currency,76080
County,Clark,Asian,2012-2016,Currency,80504
County,Clark,Asian,2013-2017,Currency,82736
County,Clark,Black,2010-2014,Currency,44269
County,Clark,Black,2011-2015,Currency,48051
County,Clark,Black,2012-2016,Currency,49945
County,Clark,Black,2013-2017,Currency,57757
County,Clark,Hispanic or Latino,2010-2014,Currency,43330
County,Clark,Hispanic or Latino,2011-2015,Currency,44275
County,Clark,Hispanic or Latino,2012-2016,Currency,46103
County,Clark,Hispanic or Latino,2013-2017,Currency,49122
County,Clark,Multiracial,2010-2014,Currency,59540
County,Clark,Multiracial,2011-2015,Currency,44275
County,Clark,Multiracial,2012-2016,Currency,60545
County,Clark,Multiracial,2013-2017,Currency,66294
County,Clark,Native Hawaiian and Other Pacific Islander,2010-2014,Currency,58250
County,Clark,Native Hawaiian and Other Pacific Islander,2011-2015,Currency,47419
County,Clark,Native Hawaiian and Other Pacific Islander,2012-2016,Currency,51583
County,Clark,Native Hawaiian and Other Pacific Islander,2013-2017,Currency,62530
County,Clark,White Non-Hispanic,2010-2014,Currency,72202
County,Clark,White Non-Hispanic,2011-2015,Currency,73752
County,Clark,White Non-Hispanic,2012-2016,Currency,76232
County,Clark,White Non-Hispanic,2013-2017,Currency,80967
County,Clark,American Indian and Alaska Native,2014-2018,Currency,75653
County,Clark,Asian,2014-2018,Currency,87757
County,Clark,Black,2014-2018,Currency,63857
County,Clark,Hispanic or Latino,2014-2018,Currency,52168
County,Clark,Multiracial,2014-2018,Currency,73064
County,Clark,Native Hawaiian and Other Pacific Islander,2014-2018,Currency,63632
County,Clark,White Non-Hispanic,2014-2018,Currency,85908
County,Clark,American Indian and Alaska Native,2015-2019,Currency,77734
County,Clark,Asian,2015-2019,Currency,89291
County,Clark,Black,2015-2019,Currency,65897
County,Clark,Hispanic or Latino,2015-2019,Currency,54811
County,Clark,Multiracial,2015-2019,Currency,81645
County,Clark,Native Hawaiian and Other Pacific Islander,2015-2019,Currency,65273
County,Clark,White Non-Hispanic,2015-2019,Currency,90434
County,Columbia,American Indian and Alaska Native,2005-2009,Currency,"*$51,250"
County,Columbia,Asian,2005-2009,Currency,NA
County,Columbia,Black,2005-2009,Currency,NA
County,Columbia,Hispanic or Latino,2005-2009,Currency,"*$29,688"
County,Columbia,Multiracial,2005-2009,Currency,NA
